Nombre_Hoja,Campo
USUARIOS,1_USUARIOS AUTORIZADOS POR NIVEL DE ACCESO PERMITIDO
USUARIOS,2_
USUARIOS,3_
USUARIOS,4_
MENSAJES DE VOZ,1_indique    si  quiere    consultar   en    la    data    de    afiliados     activos
MENSAJES DE VOZ,2_
MENSAJES DE VOZ,3_
MENSAJES DE VOZ,4_
MENSAJES DE VOZ,5_
MENSAJES DE VOZ,6_
MENSAJES DE VOZ,7_
MENSAJES DE VOZ,8_
MENSAJES DE VOZ,9_
MENSAJES DE VOZ,10_
MENSAJES DE VOZ,11_
MENSAJES DE VOZ,12_
MENSAJES DE VOZ,13_
MENSAJES DE VOZ,14_
MENSAJES DE VOZ,15_
MENSAJES DE VOZ,16_
MENSAJES DE VOZ,17_
MENSAJES DE VOZ,18_
MENSAJES DE VOZ,19_
MENSAJES DE VOZ,20_
MENSAJES DE VOZ,21_
MENSAJES DE VOZ,22_
MENSAJES DE VOZ,23_
MENSAJES DE VOZ,24_
MENSAJES DE VOZ,25_
MENSAJES DE VOZ,26_
MENSAJES DE VOZ,27_
MENSAJES DE VOZ,28_
MENSAJES DE VOZ,29_
MENSAJES DE VOZ,30_
MENSAJES DE VOZ,31_
MENSAJES DE VOZ,32_
MENSAJES DE VOZ,33_
MENSAJES DE VOZ,34_
MENSAJES DE VOZ,35_
MENSAJES DE VOZ,36_
MENSAJES DE VOZ,37_
MENSAJES DE VOZ,38_
MENSAJES DE VOZ,39_
MENSAJES DE VOZ,40_
MENSAJES DE VOZ,41_
MENSAJES DE VOZ,42_
MENSAJES DE VOZ,43_
MENSAJES DE VOZ,44_
MENSAJES DE VOZ,45_
MENSAJES DE VOZ,46_
MENSAJES DE VOZ,47_
MENSAJES DE VOZ,48_
MENSAJES DE VOZ,49_
MENSAJES DE VOZ,50_
MENSAJES DE VOZ,51_
MENSAJES DE VOZ,52_
MENSAJES DE VOZ,53_
DATABASE,1_
DATABASE,2_
DATABASE,3_27/08/2024
DATABASE,4_27/08/2024
DATABASE,5_27/08/2025
DATABASE,6_
DATABASE,7_27/08/2024
DATABASE,8_27/11/2024
DATABASE,9_BASE DE DATOS CONTRATOS INDIVIDUALES
DATABASE,10_
DATABASE,11_
DATABASE,12_
DATABASE,13_
DATABASE,14_
DATABASE,15_
DATABASE,16_
DATABASE,17_
DATABASE,18_
DATABASE,19_
DATABASE,20_
DATABASE,21_
DATABASE,22_
DATABASE,23_
DATABASE,24_
DATABASE,25_
DATABASE,26_
DATABASE,27_
DATABASE,28_
DATABASE,29_
DATABASE,30_
DATABASE,31_
DATABASE,32_
DATABASE,33_
DATABASE,34_
DATABASE,35_Criterio de Búsqueda
DATABASE,36_
DATABASE,37_
DATABASE,38_
DATABASE,39_
DATABASE,40_
DATABASE,41_
DATABASE,42_
DATABASE,43_
DATABASE,44_
DATABASE,45_
DATABASE,46_
DATABASE,47_
DATABASE,48_
DATABASE,49_
DATABASE,50_
DATABASE,51_
DATABASE,52_
DATABASE,53_
DATABASE,54_
DATABASE,55_
DATABASE,56_
DATABASE,57_
DATABASE,58_
DATABASE,59_
DATABASE,60_
DATABASE,61_
DATABASE,62_
DATABASE,63_
DATABASE,64_
DATABASE,65_
DATABASE,66_
DATABASE,67_
DATABASE,68_44069.0
DATABASE,"69_If  Hoja1.Cells(uFila, 69) =  0 Then  If  Hoja1.Cells(uFila, 65) = ""1er. Año"" Else   Hoja1.Cells(uFila, 65) = ""Renovación"""
DATABASE,"70_Activo por defecto hasta que se mande a anular  Hoja1.Cells(uFila, 66) = ""Activo"""
DATABASE,"71_Sin emitir por defecto y cuando se emite el 1er. certificado cambia automáticamente el estatus  Hoja1.Cells(uFila, 67) = ""Sin Emitir"""
DATABASE,"72_If Now < TxtConInVig.Value Then Hoja1.Cells(uFila, 68) = ""No Vigente Aún""   Else      If Now >  TxtConInVig.Value And  Not Now >  TxtConFinVig. Then Value Hoja1.Cells(uFila, 65) =  Vigente"" Else  TxtConInVig.Value = ""Vencido""   End If End If"
DATABASE,"73_Hoja1.Cells(uFila, 69) = Now -TxtFechaEmi En formato numérico de parte entera"
DATABASE,"74_Por defecto  Hoja1.Cells(uFila, 70) = ""Activo"" hasta que se manda a anular"
DATABASE,"75_Hoja1.Cells(uFila, 71) = Now -TxtFechaIngreso En formato numérico de parte entera"
DATABASE,"76_If Hoja1.Cells(uFila, 69 = 0 Then Hoja1.cells(uFila, 72) = ""Primer Año"" Then Hoja1.cells(uFila, 72) = ""Renovación"""
DATABASE,"77_Activo por defecto hasta que se mande a anular  Hoja1.Cells(uFila, 73) = ""Activo"""
DATABASE,"78_Sin emitir por defecto y cuando se emite el 1er. certificado cambia automáticamente el estatus  Hoja1.Cells(uFila, 74) = ""Sin Emitir"""
DATABASE,"79_If Hoja1.Cells(uFila, 68) = ""No Vigente then Hoja1.Cells(uFila, 75) = ""No Vigente Aún"" Else If Hoja1.Cells(uFila, 68) = "" Vigente"" then Hoja1.Cells(uFila, 75) = ""Vigente"" Else If Hoja1.Cells(uFila, 68) = ""Vencido"" then Hoja1.Cells(uFila, 75) = ""Vencido""  End If End If End If"
DATABASE,"80_Pendiente por defecto y cuando se pague la factura Administración cambia el estatus por pagado Hoja1.Cells(uFila, 76) = ""Pendiente"""
DATABASE,81_Recibo de Emisión por defecto
DATABASE,82_Contrato no habilitado aún por defecto
DATABASE,83_Recibo no habilitado aún por defecto
DATABASE,84_
DATABASE,85_
DATABASE,86_
DATABASECOL,1_
DATABASECOL,2_
DATABASECOL,3_
DATABASECOL,4_
DATABASECOL,5_
DATABASECOL,6_
DATABASECOL,7_
DATABASECOL,8_
DATABASECOL,9_BASE DE DATOS CONTRATOS COLECTIVOS
DATABASECOL,10_
DATABASECOL,11_
DATABASECOL,12_
DATABASECOL,13_
DATABASECOL,14_
DATABASECOL,15_
DATABASECOL,16_
DATABASECOL,17_
DATABASECOL,18_
DATABASECOL,19_
DATABASECOL,20_
DATABASECOL,21_
DATABASECOL,22_
DATABASECOL,23_
DATABASECOL,24_
DATABASECOL,25_
